date,commodity,contract,settlement_eur
2009-01-06,ele,CAL10,58.0
2009-01-07,ele,CAL10,56.0
2009-01-08,ele,CAL10,55.5
2009-01-11,ele,CAL10,52.9
2009-01-12,ele,CAL10,53.1
2009-01-13,ele,CAL10,53.1
2009-01-14,ele,CAL10,53.1
2009-01-15,ele,CAL10,52.8
2009-01-18,ele,CAL10,50.85
2009-01-19,ele,CAL10,50.0
2009-01-20,ele,CAL10,50.15
2009-01-21,ele,CAL10,50.25
2009-01-22,ele,CAL10,49.9
2009-01-25,ele,CAL10,51.0
2009-01-26,ele,CAL10,50.8
2009-01-27,ele,CAL10,50.8
2009-01-28,ele,CAL10,50.5
2009-01-29,ele,CAL10,51.0
2009-02-01,ele,CAL10,50.1
2009-02-02,ele,CAL10,49.6
2009-02-03,ele,CAL10,49.2
2009-02-04,ele,CAL10,49.0
2009-02-05,ele,CAL10,49.0
2009-02-08,ele,CAL10,50.85
2009-02-09,ele,CAL10,50.5
2009-02-10,ele,CAL10,49.0
2009-02-11,ele,CAL10,47.5
2009-02-12,ele,CAL10,47.0
2009-02-15,ele,CAL10,45.75
2009-02-16,ele,CAL10,43.6
2009-02-17,ele,CAL10,43.75
2009-02-18,ele,CAL10,44.0
2009-02-19,ele,CAL10,43.25
2009-02-22,ele,CAL10,41.9
2009-02-23,ele,CAL10,40.6
2009-02-24,ele,CAL10,40.7
2009-02-25,ele,CAL10,42.0
2009-02-26,ele,CAL10,41.3
2009-03-01,ele,CAL10,40.75
2009-03-02,ele,CAL10,41.5
2009-03-03,ele,CAL10,44.6
2009-03-04,ele,CAL10,43.5
2009-03-05,ele,CAL10,43.5
2009-03-08,ele,CAL10,44.6
2009-03-09,ele,CAL10,45.75
2009-03-10,ele,CAL10,44.25
2009-03-11,ele,CAL10,43.6
2009-03-12,ele,CAL10,44.5
2009-03-15,ele,CAL10,44.4
2009-03-16,ele,CAL10,45.55
2009-03-17,ele,CAL10,45.5
2009-03-18,ele,CAL10,47.4
2009-03-19,ele,CAL10,47.6
2009-03-22,ele,CAL10,50.0
2009-03-23,ele,CAL10,49.1
2009-03-24,ele,CAL10,48.25
2009-03-25,ele,CAL10,49.0
2009-03-26,ele,CAL10,48.5
2009-03-29,ele,CAL10,47.35
2009-03-30,ele,CAL10,47.35
2009-03-31,ele,CAL10,48.25
2009-04-01,ele,CAL10,49.9
2009-04-02,ele,CAL10,50.4
2009-04-05,ele,CAL10,51.6
2009-04-06,ele,CAL10,49.9
2009-04-07,ele,CAL10,49.5
2009-04-08,ele,CAL10,51.6
2009-04-09,ele,CAL10,52.4
2009-04-13,ele,CAL10,51.5
2009-04-14,ele,CAL10,51.6
2009-04-15,ele,CAL10,52.2
2009-04-16,ele,CAL10,53.1
2009-04-19,ele,CAL10,51.4
2009-04-20,ele,CAL10,50.5
2009-04-21,ele,CAL10,51.1
2009-04-22,ele,CAL10,50.9
2009-04-23,ele,CAL10,50.95
2009-04-26,ele,CAL10,49.35
2009-04-27,ele,CAL10,49.15
